"PERIODO","COD_CENCOSUD","COD_PROVEEDOR","DESCRIPCION_PRODUCTO","MARCA","ESTACION","TEMPORADA","ESTADO_PRODUCTO","DIVISION","DEPARTAMENTO","SUBDEPARTAMENTO","CLASE","ESTILO","CATPROVN1","CATPROVN2","CATPROVN3","CATPROVN4","CATPROVN5","COD_LOCAL","DESCRIPCION_LOCAL","FORMATO","TIPO_LOCAL","ESTADO_LOCAL","TIPO","VTA_PERIODO(u)","VTA_PERIODO_COSTO($)","VTA_PERIODO_PUBLICO($)"
2026-03-16,277851003,F208EP3C20,P3 BOXER ALG 208E/SURTI/M,FOSTER,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,BOXER,P3 BOXER ALG 208E-C20 FST,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00009,Paris Lyon,PARIS,Local,Activo,NO CLASIFICADO,1,4995,9990
2026-03-16,301207004,M503P3NV25C1,P3 CULOTTE M503NV/SURTI/M,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,CORSETERIA,CALZONES,PACK CALZON,P3 CULOTTE M503NV25C1 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00009,Paris Lyon,PARIS,Local,Activo,NO CLASIFICADO,1,6495,12990
2026-03-16,960956013,605CP5-C1,P5 CALCETIN COB 6/SURTI/TU,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,CONVERTIDORES,CONVERTIDORES,P5 CALCETIN COB 605C1 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00009,Paris Lyon,PARIS,Local,Activo,NO CLASIFICADO,1,6495,12990
2026-03-16,811916005,J208AEP3C15,P3 BOXER ALG 208E/SURTI/XL,JJO,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,BOXER,P3 BOXER ALG 208EC15 JJO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00010,Paris Plaza Oeste,PARIS,Local,Activo,NO CLASIFICADO,1,4995,9990
2026-03-16,397259003,491CC-C2,PANTUFLA COLO 491/SURTI/L,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ACCESORIOS,PANTUFLAS,PANTUFLA COLO 491C2 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00010,Paris Plaza Oeste,PARIS,Local,Activo,NO CLASIFICADO,-1,-7495,-14989
2026-03-16,683487003,LEGB9-C3,BATA FLEECE B9-C3/SURTI/M,LEGACY,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,BATAS,BATA,BATA FLEECE B9-C3 LEG,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00010,Paris Plaza Oeste,PARIS,Local,Activo,NO CLASIFICADO,1,9239,11990
2026-03-16,601378004,700P3-C6,P3 BOXER SEAMLESS/SURTI/L,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,BOXER,P3 BOXER SEAMLESS 700C6-TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00010,Paris Plaza Oeste,PARIS,Local,Activo,NO CLASIFICADO,1,6995,13990
2026-03-16,160474005,208MCCP3-C2,P3 BOXER COBRE 20/SURTI/XL,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,BOXER,P3 BOXER COBRE 208MCC-C2,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00010,Paris Plaza Oeste,PARIS,Local,Activo,NO CLASIFICADO,1,7995,15990
2026-03-16,790019007,5013P5-C8,P5 BOXER ALG COLO/SURTI/T 14,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,INTERIOR Y DORMIR INFANTI,ROPA INTERIOR,BOXER,P5 BOXER ALG COLOR 5013C8 TO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00010,Paris Plaza Oeste,PARIS,Local,Activo,NO CLASIFICADO,2,13868,29981
2026-03-16,811863005,J208AP3C1,P3 BOXER ALG 208C/NEGRO/XL,JJO,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,BOXER,P3 BOXER ALG 208C1 JJO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00010,Paris Plaza Oeste,PARIS,Local,Activo,NO CLASIFICADO,1,4995,9990
2026-03-16,742829002,M600SPP5C1,P5 CALCETIN SPRT/SURTI/TU,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,MEDIAS Y CALCETINES,CONVERTIDORES,CONVERTIDORES,P5 CALCETIN SPRT M600SPC1 TO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00010,Paris Plaza Oeste,PARIS,Local,Activo,NO CLASIFICADO,1,4996,9990
2026-03-16,376278004,511P5-C11,P5 SLIP COLOR 511/SURTI/L,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,SLIP,P5 SLIP COLOR 511-C11 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00010,Paris Plaza Oeste,PARIS,Local,Activo,NO CLASIFICADO,1,7495,14990
2026-03-16,397253004,208P4-C4,P4 BOXER ALG 208C/SURTI/L,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,BOXER,P4 BOXER ALG 208C4 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00019,Paris Curico,PARIS,Local,Activo,NO CLASIFICADO,1,9995,19990
2026-03-16,995452004,M187M25C1,CAMISETA COMPER M/SURTI/L,TOP,INVIER,INV25,Activo,VESTUARIO,CORSETERIA,ACCESORIO,ACCESORIO,CAMISETA COMPER M187M25C1 TO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00019,Paris Curico,PARIS,Local,Activo,NO CLASIFICADO,2,14990,10990
2026-03-16,397265002,264AIUCH-C1,PIJAMA UCH 263AIC/SURTI/S,TOP,INVIER,INV26,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,PIJAMAS,PIJAMA LARGO,PIJAMA UCH 263AIC1 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00016,Paris Plaza Del Trebol,PARIS,Local,Activo,NO CLASIFICADO,1,11495,22990
2026-03-16,376319002,LEG261AIC2,PIJAMA INV26 261C/SURTI/S,LEGACY,INVIER,INV26,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,PIJAMAS,PIJAMA LARGO,PIJAMA INV26 261C2 LEG,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00016,Paris Plaza Del Trebol,PARIS,Local,Activo,NO CLASIFICADO,1,7853,16990
